title,wikidata,author,language,country,published,pages,publisher,editor,isbn13,isbn10,oclc
Gwaith Mathau Brwmffild,Q18535806,,Q9309,Q25,2003-01-01,130,,,978-0-947531-76-8,,
Gwaith Raff ap Robert,Q18535885,,Q9309,Q25,2013-04-15,155,,,978-1-907029-05-9,,
Gwaith Rhys Goch Eryri,Q18535934,,Q9309,Q25,2008-01-14,294,,,978-0-947531-97-3,,
Gweledigaethau,Q18535662,,Q9309,Q25,2007-12-06,464,,Q18535567,978-1-906396-01-5,,
Llenyddiaeth Mewn Theori: Cyfrol 1 2006,Q20594712,,Q9309,Q25,2007-03-29,132,,Q7114654,,,
Treigl y Marchog Crwydrad (llyfr),Q20601108,,Q9309,Q25,2002-07-01,336,,,978-0-7083-1727-3,,
Waldo Williams - Rhyddiaith,Q18535996,,Q9309,Q25,2001-11-01,432,,Q13127787,978-0-7083-1731-0,,
100 o Englynion,Q20572552,,Q9309,Q25,2009-03-25,168,,,978-1-906396-03-9,,
A Gymri Di Gymru?,Q20573677,Q18535656,Q9309,Q25,2009-03-13,112,,,978-1-84771-118-2,,
Achos,Q20575653,Q13635446,Q9309,Q25,2005-10-18,,,,978-1-900437-74-5,,
Alan,,,Q9309,Q25,2003-03-21,272,,,978-1-900437-51-6,,
Baledi'r Ddeunawfed Ganrif,Q20580225,Q1041289,Q9309,Q25,1935,179,,,978-0-7083-0928-5,,
Adennill Tir,Q20575799,Q13635446,Q9309,Q25,1997-07-01,92,,,978-1-900437-13-4,,
Ail Bistyll,Q20576523,,Q9309,Q25,1989-01-01,80,,Q4710162,978-0-00-017271-6,,
Amheus o Angylion,Q20577456,Q13125437,Q9309,Q25,2011-06-09,128,,,978-1-906396-45-9,,
Banerog,Q20580408,Q18535643,Q9309,Q25,2009-04-08,112,,,978-1-84771-141-0,,
Aelwyd Gwlad,Q20576037,,Q9309,Q25,1997-08-05,79,,,978-1-900437-14-1,,
Am Ryw Hyd,Q18535442,Q5623803,Q9309,Q25,1996-01-01,72,,,978-0-7074-0119-5,,
Angel a Thinsel,Q20576347,,Q9309,Q25,1996-12-01,160,,,978-1-900437-10-3,,
Anifeiliaid y Maes Hefyd,Q18535447,,Q9309,Q25,1993-01-01,36,,,978-1-872705-01-9,,
Ar y Tir Mawr,Q20578948,,Q9309,Q25,2012-07-04,88,,,978-1-84527-341-5,,
Bardd y Neuadd Wen,Q20580472,,Q9309,Q25,2009-08-15,84,,,,,
Penillion Huw,Q20589971,,Q9309,Q25,2004-10-20,64,,,978-0-86381-935-3,,
Cerddi Gwyndaf,Q20591977,,Q9309,Q25,1987-01-01,142,,,978-0-7074-0127-0,,
Amser Amherffaith,Q20577529,Q13128260,Q9309,Q25,2004-07-15,88,,,978-0-86381-942-1,,
At eich Gwasanaeth,Q20579677,,Q9309,Q25,1993-01-01,99,,,978-0-7074-0233-8,,
Awen R.E.,Q20579875,,Q9309,Q25,1989-01-01,83,,,978-0-86074-056-8,,
Awen y Gael,Q20579885,,Q9309,Q25,1987-01-01,140,,,978-0-00-017804-6,,
Beirdd Bro'r Eisteddfod,Q20582064,,Q9309,Q25,2013-06-20,104,,,978-1-906396-62-6,,
Beirdd Ceridwen,Q20582074,,Q9309,Q25,2005-07-27,420,,,978-1-900437-77-6,,
Caniadau Unigedd,Q20587210,,Q9309,Q25,2002-08-01,84,,,978-0-9533222-2-0,,
Cerddi Bois y Frenni,Q20591810,,Q9309,Q25,2000-11-01,80,,,978-1-85902-899-5,,
Cerddi R. Williams Parry - Y Casgliad Cyflawn 1905-1950,Q20592123,Q7274124,Q9309,Q25,1998-09-01,318,,Q2830554,978-0-7074-0315-1,,
Cerddi W.J. Gruffydd - Elerydd,Q20592174,Q7945720,Q9309,Q25,1990-01-01,64,,,978-0-86074-063-6,,
Apocalups Yfory,Q18535454,Q5623803,Q9309,Q25,2005-12-01,100,,,978-1-900437-76-9,,
Ar Dafod Gwerin,Q20578502,,Q9309,Q25,2004-11-18,338,,,978-1-84512-023-8,,
Awen yr Hwyr,Q20579896,,Q9309,Q25,1991-01-01,48,,,978-0-7074-0208-6,,
