title,wikidata,author,language,country,published,pages,publisher,editor,isbn13,isbn10,oclc
Cydymaith i Lenyddiaeth Cymru,Q20563675,,Q9309,Q25,,844,Q7896557,Q6809953,978-0-7083-1382-4,,
Siwan (Cyfres Astudiaethau Theatr Cymru),Q20597864,,Q9309,Q25,1996-06-01,20,,,978-0-00-077018-9,,
Gwaith Meilyr Brydydd a'i Ddisgynyddion,Q20568983,Q2670636,Q9309,Q25,1994-01-01,588,Q7896557,,978-0-7083-1187-5,,
Gwaith Llywelyn Fardd I ac Eraill o Feirdd y Ddeuddegfed Ganrif,Q20568325,Q11052381,Q9309,Q25,1994-01-01,590,Q7896557,,978-0-7083-1214-8,,
Gwaith Cynddelw Brydydd Mawr,Q20563998,Q3399888,Q9309,Q25,,,Q7896557,,978-0-7083-1086-1,,
Lewys Glyn Cothi (Detholiad),Q20592250,Q730668,Q9309,Q25,1984-01-01,223,Q7896557,,978-0-7083-0859-2,,
Meistri'r Canrifoedd,Q18535809,Q2420498,Q9309,Q25,1982-01-01,432,Q7896557,Q7273649,978-0-7083-0834-9,,
Llwyfannau (Cyfres Cwmpas),Q20595219,,Q9309,Q25,1982-01-01,70,Q13128814,,978-0-00-077111-7,,
Cywyddau Iolo Goch ac Eraill,Q20599996,,Q9309,Q25,1937,433,Q7896557,,978-0-7083-0477-8,,
Elfennau Barddoniaeth,Q18535603,Q2383305,Q9309,Q25,1965-01-01,143,Q7896557,,978-0-7083-0234-7,,
Gwaith Dafydd Llwyd o Fathafarn,Q20598771,Q20860069,Q9309,Q25,1964-01-01,227,Q7896557,,978-0-7083-0239-2,,
Gwaith Hywel Cilan,Q20598798,Q18535704,Q9309,Q25,1963-01-01,117,Q7896557,,978-0-7083-0242-2,,
Gwaith Tudur Penllyn ac Ieuan ap Tudur Penllyn,Q20598843,,Q9309,Q25,1959-01-01,199,Q7896557,Q7793585,978-0-7083-0245-3,,
Iaco ab Dewi 1648-1722,Q20590349,,Q9309,Q25,1953-01-01,133,Q7896557,,978-0-7083-0216-3,,
Culhwch ac Olwen (llyfr),Q20597712,,Q9309,Q25,1988,328,Q7896557,,978-0-7083-2619-0,,
Cyfoeth y Testun,Q20598741,,Q9309,Q25,2003-07-01,398,Q7896557,,978-0-7083-1827-0,,
Golwg ar Lenyddiaeth yr Oesoedd Canol,Q20598049,,Q9309,Q25,,36,Q319761,,978-1-85644-573-3,,
Perthyn (Cyfres Astudiaethau Theatr Cymru),Q20590775,,Q9309,Q25,2000-11-01,24,,,978-0-00-087089-6,,
Gwaith Bleddyn Ddu,Q18535470,Q18535469,Q9309,Q25,1994-01-01,97,Q20587275,,978-0-904058-20-8,,
Ysgrifeniadau Byrion Morgan Llwyd,Q18536054,Q3400408,Q9309,Q25,1986-01-01,75,Q7896557,,978-0-7083-0911-7,,
Cyfres y Meistri:4. Daniel Owen - Detholiad o Ysgrifau (Cyfrol 1),Q18535529,,Q9309,Q25,,310,Q13128812,Q3398951,978-0-7154-0584-0,,
Gwaith Guto'r Glyn,Q20598787,Q5621832,Q9309,Q25,,413,Q7896557,,978-0-7083-0240-8,,
Gwaith Iorwerth Fynglwyd,Q20598805,Q18535716,Q9309,Q25,1975-01-01,136,Q7896557,,978-0-7083-0591-1,,
Gwaith Lewys Môn,Q20598813,Q6537494,Q9309,Q25,1975,606,Q7896557,,978-0-7083-0553-9,,
Hen Gerddi Crefyddol,Q20588872,,Q9309,Q25,1933,313,Q7896557,Q5724892,978-0-7083-0542-3,,
Swyddogaeth Beirniadaeth,Q20599452,Q13129333,Q9309,Q25,1973-01-01,23,Q13128815,,978-0-00-067495-1,,
Canu Maswedd yr Oesoedd Canol,Q20587406,,,Q25,,136,Q523,Q18535725,978-1-85411-234-7,,
Gwaith Dafydd Benfras ac Eraill,Q20564258,Q3331168,Q9309,Q25,1995-01-01,610,Q7896557,,978-0-7083-1304-6,,
Gwaith Llywarch ap Llywelyn 'Prydydd y Moch',Q20568296,Q3324117,Q9309,Q25,1991,385,Q7896557,,978-0-7083-1084-7,,
Gwaith Bleddyn Fardd a Beirdd Eraill Ail Hanner y Drydedd Ganrif ar Ddeg,Q20560662,,Q9309,Q25,1996-01-01,696,Q7896557,,978-0-7083-1346-6,,
